"sentence","category"
"It's great just want to know how to listen to the music or view the video before I download","INFORMATION SEEKING"
"Lost half my songs on last update","OTHER"
"If you love movies and music.","OTHER"
"This is the app to have.","OTHER"
"I love this app but wish you could get it on apple","FEATURE REQUEST"
"No  YouTube","OTHER"
"Recommended for every one","OTHER"
"You can download music, videos and images for free the best part is u can download movies for free its the best app!!!!!!!","OTHER"
"This app is the best in able to download any song or video with no problems.","OTHER"
"Im only 9","OTHER"
"Lots to choose from.","OTHER"
"Frostwire is a good music downloader but it would be better for us to have the ability to listen to the music before downloading it.","FEATURE REQUEST"
"I was just frustrated because I have tried so many downloaders.","OTHER"
"And thanks for the explanation.","OTHER"
"It still has good songs.","OTHER"
"Ok","OTHER"
"It is so good","OTHER"
"Love this app","OTHER"
"Awesome hope it works","OTHER"
"If it doesn't work I'll just uninstall","PROBLEM DISCOVERY"
"This truly is a great app but what would make it truly amazing  ( well at least for me ) is to have the ability to listen to the track before you download to make sure it's what you want.","OTHER"
"Nice","OTHER"
"Great app","OTHER"
"I don't know if it's my phone or what, but every time I open the app now, its stops working and closes.","OTHER"
"PLEASE fix this, as I use the app ALL THE TIME","PROBLEM DISCOVERY"
"Suckkllkkks!!!!!!!!","OTHER"
"Best app in the hole world!","OTHER"
"Trust me its an awesome app!","OTHER"
"I can download music and videos it's all good in the hood","OTHER"
"Its okay but it's always not reponding , and I'm always using this in downloading music, it's my favorite app so please fix this, please I really need it","PROBLEM DISCOVERY"
"It is great when getting music but for some reason after it updated I can't get on all it says it stopped working","PROBLEM DISCOVERY"
"Very good app, 9 Times Out Of 10 You'll Find The Song You're Searching For","OTHER"
"It let's me download  some songs not all the songs most of my songs I won't.","OTHER"
"When I search up songs it says it dont exist and yes i have the wifi on and still no songs","OTHER"
"work perfectly but to long to wait to finish my download.","OTHER"
"Just wasting my time.it takes forever to download a song,its so slow.Sucks","OTHER"
"It didnt work at all and it dident even have any songs on it","OTHER"
"Terrible, its slow, has no good music and won't load, I'd give it zero stars if I could, waist if time!!","OTHER"
"Removed all valid search engines.","OTHER"
"Pass this download","OTHER"
"I looked for music and it shows me the title but then It says try other titles no results for what you typed","OTHER"
"has a problem says the song is there but it really  isn't.","OTHER"
"other than  that  it's great","OTHER"
"Better  than  the  other  app","OTHER"
"Can never find what you are looking for.songs appear that don't coincide with search.","PROBLEM DISCOVERY"
"Deez nutz","OTHER"
"It knows what I'm talkn about but it won't appear just buffer and buffer and buffer so I'm lookn for something else","OTHER"
"Very nice","OTHER"
"The last update removed wifi sharing which rendered this ap useless.","OTHER"
"The pc version of FrostWire is the only one that gets the versions of songs you're looking for and the wifi sharing allows you to transfer songs from pc to phone without the inconvenience of connecting your phone to the pc.","OTHER"
"I will be uninstalling this ap today.","OTHER"
"So amazing.","OTHER"
"love so many songs.","OTHER"
"great","OTHER"
"Y","OTHER"
"I cannot find songs in Spanish that I love, it also does not allow to preview the songs","PROBLEM DISCOVERY"
"Doesn't work","PROBLEM DISCOVERY"
"It has all the songs I'm looking for","OTHER"
"Seems to work great!","OTHER"
"Please update so I can download more remixs and latest music","OTHER"
"Turtle loader!","OTHER"
":(","OTHER"
"It sucks that's it","OTHER"
"GUDOLDSOUL","OTHER"
"It will get you your files but it take up a lot of storage on your device","OTHER"
"If I could give this app a negative star,I would.the songs I try to download isn't there.","OTHER"
"It's nice I downloaded a lot of music love download it u won't be mad u did it","PROBLEM DISCOVERY"
"love this app!!","OTHER"
"this is the only app that help me find my favorite songs!!!","OTHER"
"Need option to change port","OTHER"
"Its junk now that its updated it won't pop up the stuff from YouTube anymore","PROBLEM DISCOVERY"
"I recommend it","OTHER"
"It actually has most of the songs I've been looking for.","OTHER"
"I can't find them on other music apps.","PROBLEM DISCOVERY"
"Also, very good audio quality.","OTHER"
"Would be nice to hear the song 1st prior to downloading only to find it's not the right song.","FEATURE REQUEST"
"I Have look for many songs and they dont appear.","OTHER"
"Dont download","INFORMATION GIVING"
"d .t","OTHER"
"Was good till youtube dropped, now everthing takes way to long to load.","OTHER"
"not good","OTHER"
"This is the only app that let's me download music!!","OTHER"
"Other apps suck :( I finally have something to listen to instead of crappy covers!","OTHER"
"c:","OTHER"
"It is nice and easy to download music","OTHER"
"It works","OTHER"
"I will never get app EVER AGAIN","PROBLEM DISCOVERY"
"Best downloader then the rest","OTHER"
"So far this is the best that I've come across","OTHER"
"Muey muey bueno","OTHER"
"Slow","OTHER"
"I hate the fact that you have to download the YouTube converter over and over again.","INFORMATION GIVING"
"It's annoying but overall the apps great and I've found all my songs.","OTHER"
"So far so good.","OTHER"
"I just got it and this is the best one yet of course it downloads a lil to slow for me but I love it","INFORMATION GIVING"
"why does this app keep letting me download a movie then when i try to download another it either deletes the one that is done or both ?!","INFORMATION GIVING"
"Always works great.","OTHER"
"I have no use for this now","OTHER"
"This is the best music app ever!!!!!","OTHER"
"Had to delete it sucks!!!!","PROBLEM DISCOVERY"
"Takes to long to load the music","OTHER"
"Its good it works, but sometimes I have to click download lots of times for it to actually start downloading, and there songs messing that I would love to download, please add them","FEATURE REQUEST"
"Doesn't come out the song I want","INFORMATION SEEKING"
"Too many remixes!","OTHER"
"Other than that, it's ok","OTHER"
"It download great even tho it say download Fail.","PROBLEM DISCOVERY"
"Maybe a glich but still good","OTHER"
"Just updated it and crash every time I open","PROBLEM DISCOVERY"
"Gotta have it","OTHER"
"10 star.","OTHER"
"I think that this app and I are inseparable.","OTHER"
"Don't hate it because it's changing.","INFORMATION GIVING"
"Changes are good.","OTHER"
"And I'm contented of what Frostwire is giving.","OTHER"
"Best app for me.","OTHER"
"Awesome for downloading music :-)","OTHER"
"It has everything that I love, Thank you FrostWire.","OTHER"
"Why isn't there full songs some of them are some.aren't","INFORMATION SEEKING"
"Good","OTHER"
"I LOVE LOVE LOVE THIS APP.","OTHER"
"!!!","OTHER"
"5  STARS!!!","OTHER"
"Many helpful download but can sometimes not find many specific searches","PROBLEM DISCOVERY"
"It could be better","OTHER"
"But.","OTHER"
"Maybe i can test the files before i can download it.","OTHER"
"Search sucks,cant find any songs.please fix.","PROBLEM DISCOVERY"
"Many songs are either short or remixes.","OTHER"
"Although I can find many perfect songs so it does work to an extent.","OTHER"
"It's free so thank you.","OTHER"
"Best app in the market that I see just have to be smart on which files you choose and know what viruses are out there and everything's at your fingertips thank you developing gods!","OTHER"
"But It have to be fix it for alot of songs","FEATURE REQUEST"
"With youtube, LOVE it.","OTHER"
"Every song I search, I find.","OTHER"
"100% !!!","OTHER"
"Download from FIREFOX.","OTHER"
"Well this app was amazing until its just stopped workingwhat happened?","OTHER"
"This app was good at first but Now the app keep crushing.","OTHER"
"Wtf smdh","OTHER"
"frostwire","OTHER"
"This app continuously froze my phone.","PROBLEM DISCOVERY"
"I was tryin to look for some but it wont let me look.","OTHER"
"Happy they got See You Again by Wiz Khalifa.","OTHER"
"I love it so much  perfect for Samsung  and android","OTHER"
"dont get me wrong this app really works but one little problem i have with it.","INFORMATION GIVING"
"most of the time the only song you can download is dam remix's when i what the normal version.","OTHER"
"Can't save to exsd and running out of storage space update please and addnthis function","PROBLEM DISCOVERY"
"This app sucks and will give a virus don't wast your time!!!","OTHER"
"I liked the he old version where you can download youtube content straight to your phone.i think i might delete this app because i cant get any music i want anymore.","PROBLEM DISCOVERY"
"When I downloaded it my phone started to become dysfunctional I don't know if it's just my phone or what but it's frustrating when you download an app and suddenly everything just goes out of whack -_-","OTHER"
"Every issue is fixable","PROBLEM DISCOVERY"
"I try to play music and it makes the sound when u tap on the music but nothing plz fix this","PROBLEM DISCOVERY"
"Many times I come to find all the songs aren't there.","OTHER"
"Just saying!!","OTHER"
"Doesn't have much song choice","INFORMATION SEEKING"
"Can't find what I want keeps saying try again fix this crap problem","PROBLEM DISCOVERY"
"Keeps freezing up my phone and always says it can't find artists that I have gotten songs by b4.","PROBLEM DISCOVERY"
"They need to fix this because I even tried downloading the plus and it still does it.","FEATURE REQUEST"
"I love this cuz i can watch download and watch free movies","OTHER"
"Don't even hav speaker knockers","INFORMATION SEEKING"
"Its a good downloader and all but.","OTHER"
"WTF!!","OTHER"
"Ever since the update, i havent been able to find anything i searched!!!","OTHER"
"And what ever did pop up were just terrible remixes or songs that had no relation to what i searched!!!","OTHER"
"Just for this, one star!","OTHER"
"Doesn't fully download my songs","INFORMATION SEEKING"
"Useless app.bad bad bad.can't download anything","PROBLEM DISCOVERY"
"This was a great music sharing app but everone beware we downloaded it and recieved a Certified letter that this app was illegal and was against copyright laws i figured it to be legit being offered through google play services.","OTHER"
"Please beware that it is not legit.","OTHER"
"I like -.","OTHER"
"-","OTHER"
"Fast and easy","OTHER"
"It dosnt have actual music I look for pops up bs","OTHER"
"Lol","OTHER"
"It use to be the best, no R&B song's are available as I use to be able to find anything,  even downloaded the apk STILL SUCKS SMH","INFORMATION GIVING"
"When i want to download a song it gives me the wrong one.","OTHER"
"It just doesn't the right lyrics.","INFORMATION GIVING"
"Use it every day .","OTHER"
"best app ever!","OTHER"
"Its the best app ever","OTHER"
"Keeps freezing","OTHER"
"This app used to be amazing.","OTHER"
"But now I can't find any songs that I want.","PROBLEM DISCOVERY"
"They are all remixes and no originals at all.","OTHER"
"Has anyone else has this problem?","INFORMATION SEEKING"
"Really disappointed.update, I followed instructions that had been given to someone else from on here from frostwire and uploaded frostwire plus and all working again.","OTHER"
"Thumbs up!","OTHER"
"Frostwire was my favorite app to download music but I gotta to ask why did you guys took away youtube from the app that was the best part of frostwire for me cause it finds every song I want I really wish u guys would add it back to frostwire cause frostwire right now to me is like a ferrari with a bad engine it can't do any thing","FEATURE REQUEST"
"Dude I downloaded this app, it had SOME music on it.","OTHER"
"Now it barely has any!","OTHER"
"The tracks I had where suddenly deleted.","OTHER"
"liked wtf?","OTHER"
"Only one torrent partially downloaded.","OTHER"
"The rest never progress.","OTHER"
"Very disappointing!","OTHER"
"****ing crappie","OTHER"
"Awesome App.","OTHER"
"You get to download any song, video clip etc within seconds.","OTHER"
"I cant find some of the song but cool app","PROBLEM DISCOVERY"
"Best downloader ever","OTHER"
"i love it it has everything i need","OTHER"
"IT IS AMAZING APP","OTHER"
"It doesnt wanna download anything","OTHER"
"I usto search a song and many would pop up and now I search a song and only one that has nothing to do with the song I searched pop's up?","INFORMATION SEEKING"
"Why is this?","INFORMATION SEEKING"
"Why does it have access to my pictures and videos?","INFORMATION SEEKING"
"This was my favorite app in the world and now I can never download songs.","PROBLEM DISCOVERY"
"Always says no music available or just come up with cover songs.","INFORMATION GIVING"
"Really wish it went back to the way it was","FEATURE REQUEST"
"I got the app and liked it but later realized it wouldn't let me get a lot of good nor new songs","OTHER"
"I dont understand why it deletes youre music from your SD card of you Uninstall FW.","OTHER"
"is that like an incentive to keep this app or what?","OTHER"
"I think thats rude.","OTHER"
"Also every music downloader that I've had in the past had a preview option.","OTHER"
"How are we supposed to know if thats the one we want to download if we cant listen to it first?","PROBLEM DISCOVERY"
"Its better than all of the other free music downloaders aside from thoes two things.","OTHER"
"I've had better","OTHER"
"When you type  in a song you want it dose not give u it or it whould  say not found  fix your dumb app .it was great  when it frist came out but now you cant do anything  on","PROBLEM DISCOVERY"
"Love this app bottom line it works great.","OTHER"
"I works good but its glichy and you can't multy task with this like u cant listen to music and download any songs or any thins else but once you keep on using it it works","PROBLEM DISCOVERY"
"Music","OTHER"
"It suck","OTHER"
"If you listen to anything that isn't played on the radio good luck finding anything.","OTHER"
"Its great an fast","OTHER"
"I had to delete the app as i couldnt whatch any videos on Youtube.I deleted it but it made no difference.Thank you for ruinning youtube.Now I cant watch a single video.I would love to have a reply.","INFORMATION GIVING"
"Only plays cover songs not originals.","OTHER"
"SUCKS!!","OTHER"
"Love the quality of the content which is superb!!","OTHER"
"The worst","OTHER"
"When I download a song its OK bit it does not have some songs I would like and it takes up to much space the way it shows up,  not is folders one day one not together","OTHER"
"This app gave me good luck I met Taylor Swift Sabrina carpenter and ariana Grande","OTHER"
"My resume for this life!!!","OTHER"
"Hi please fix this sh#t tired of listening to music and having this thing just close on me.","PROBLEM DISCOVERY"
":update: sorry but my version says i have 1.5.7 how did you get that i have an old version?","INFORMATION SEEKING"
"Anyway i will email my phone info","OTHER"
"It works really well and I have had no problems with it","PROBLEM DISCOVERY"
"Only remixes","OTHER"
"Kiss it","OTHER"
"I hate it when u have to download the song just to see if its the right one it needs to be changed to where u can listen to the song then download it","FEATURE REQUEST"
"Found this app to be a waste of time because I couldn't find the original songs on this app","PROBLEM DISCOVERY"
"Great app","OTHER"
"Loved this until my carrier found out there's copyright content from bittorrent how can I fix this?","PROBLEM DISCOVERY"
"Kool","OTHER"
"Use to be able to download music from youtube now when i go to search it says no resualts fix that","INFORMATION GIVING"
"Hard to find songs even mainstream ones","OTHER"
"Love the app.","OTHER"
"Having some difficulties with the downloads though.","OTHER"
"Tried downloading a movie and when it downloaded, it froze my entire phone and I can't open my gallery now.","PROBLEM DISCOVERY"
"Can't even watch the movie.","PROBLEM DISCOVERY"
"Slightly disappointed with how its currently running.","OTHER"
"Have had no problems in the past.","OTHER"
"Hoping this gets fixed.","OTHER"
"Fabulous .","OTHER"
"love it.","OTHER"
"i find all songs here","OTHER"
"Suck now  don't seem to find the artist anymore","OTHER"
"It been really bad lately trying to download it froze and in videos dont come out","PROBLEM DISCOVERY"
"Want to download a song?","OTHER"
"Here's 40 unknown crap artists remixing it.","OTHER"
"Can't find the original though.","PROBLEM DISCOVERY"
"No, don't care how many times you reword your search, we're not giving you the original, have a dubstep remix of an acoustic.","INFORMATION GIVING"
"Accidentally had your phone unlocked in your pocket?","OTHER"
"let's download an entire movie for you that's  on the home page for six months.","OTHER"
"Want to mash the back button to leave like every other app?","OTHER"
"Nah, you need to click 'OK' or we'll just keep rerouting you back to the home page.","FEATURE REQUEST"
"Use to be really good but now thumbs down","OTHER"
"I have had frostwire for a long time and I loved it recently though a song I was searching couldn't be found.it is a really great app though if you want to watch an episode from YouTube you can look it up download it and watch it","PROBLEM DISCOVERY"
"Ayaw naman makadownload","OTHER"
"Download","OTHER"
"Everybody use music paradise","OTHER"
"It made everything slow down than it made my phone freeze","INFORMATION GIVING"
"Fehey","OTHER"
"I started to watch a file I selected from a few I downloaded and it just completely deleted all files I got from here not just the one I started watching, it wasted my data plan, really upsetting.","INFORMATION GIVING"
"It works great","OTHER"
"I use to love this app!","OTHER"
"It would let me find any song I would look for.","OTHER"
"It would also let me download movies and I was downloading old school movies for my son,and now that I try to download anything or look for something is not letting me at all!!!!!","OTHER"
"Please fix it this was the only app that has ever worked","PROBLEM DISCOVERY"
"everysince they update of last month everything i look up says it can not be found it dosent let u search alot of artist that it once used to !!?","PROBLEM DISCOVERY"
"I love it it give me all the songs I like","OTHER"
"Can't find the original songs.","PROBLEM DISCOVERY"
"Lags and sometimes completely freezes while in use makes the app literally impossible to use.","PROBLEM DISCOVERY"
"It crashed my entire phone for 20 MINUTES!!!!!","PROBLEM DISCOVERY"
"Without issues, it is a perfect app and enjoy it very much.","OTHER"
"Please fix, I love using this app.","PROBLEM DISCOVERY"
"Used to be good, now it sucks.","OTHER"
"Can't do anything without apk","PROBLEM DISCOVERY"
"Hate it it is the worst","OTHER"
"I can download all music album, songs for free","OTHER"
"It only has dumb remix","OTHER"
"Bla bla bla kya khun","OTHER"
"Everything is just a remix","OTHER"
"Can't find anything","PROBLEM DISCOVERY"
"Has music I like and can download TV shows","OTHER"
"Is missing a lot of songs","FEATURE REQUEST"
"Didn't work when I downloaded it from your site.","PROBLEM DISCOVERY"
"My phone said it could not open.","PROBLEM DISCOVERY"
"It freezes way to much!!!","PROBLEM DISCOVERY"
"I'm on.","OTHER"
"It doesn't let me find any song .","OTHER"
"then I find a title for the songs and it turns out it not even a song also it says that the song can't be played.","PROBLEM DISCOVERY"
"Only bad thing is that I can never find the original song, only remixes, would give 5 if there wasn't so much","PROBLEM DISCOVERY"
"Great app.","OTHER"
"I can fine just about everything on here.","FEATURE REQUEST"
"Even download movies","OTHER"
"I did what the stupid thing told me to do and guess what!","OTHER"
"I still cant download any songs and so i deleted the app and downloaded it again.","PROBLEM DISCOVERY"
"The only difference was that all my songs were gone!!","OTHER"
"I am very upset with this.","OTHER"
"If you are going to have a stupid update or whatever, at least make sure it works!!","OTHER"
"I went from loving this app to hating it very fast!","OTHER"
"Iike the app but I it doesn't always have songs that I want","OTHER"
"I downloaded it and loved it at first but then after I couldn't find the songs I wanted anymore it was useless and I deleted it and it deleted all of my music so don't download it , it's not even worth it","PROBLEM DISCOVERY"
"this app is the best","OTHER"
"What happen to downloading songs from you tube ?","INFORMATION SEEKING"
"All mannnnnn.","OTHER"
"!","OTHER"
"App took over my phone.","OTHER"
"after downloading my cell started going crazy.","OTHER"
"it closed this window several times while i typed.","OTHER"
"It has everything i want love it !!","OTHER"
"Its so awesome and fantastic","OTHER"
"Sucks dick and dumb","OTHER"
"Not at all like the pc or mac version for some reason there are way less songs and it doesn't recognize some searches","OTHER"
"Constant issues occur frequently after installing app fix","PROBLEM DISCOVERY"
"All 3 2 play or download,save 2 memory card n b sure 2 remove card b4 app then there yours 4eva :-) safe brother's xx","OTHER"
"You are one of the best apps ty","OTHER"
"I used to love it but now it takes forever to download .","OTHER"
"I used to be able to download audio from YouTube which was amazing !!!","OTHER"
"But it doesn't pop up anymore ):","PROBLEM DISCOVERY"
"Can't download songs.","PROBLEM DISCOVERY"
"Searches aren't working","PROBLEM DISCOVERY"
"This app used to be brilliant for music now it doesn't find anything!","PROBLEM DISCOVERY"
"Not to bad","OTHER"
"Worth it.","OTHER"
"I downloaded songs I couldn't find in other apps.","PROBLEM DISCOVERY"
"Its a great app.","OTHER"
"pls download.this apps u loved it.","OTHER"
"everytime i open it in few second it close by themselves","OTHER"
"The app is not the very good too download anything","OTHER"
"Hit or miss.","OTHER"
"While searching for songs, it keeps freezing my phone so that I have to keep restarting it.","PROBLEM DISCOVERY"
"Not sure what's changed but please fix it.","PROBLEM DISCOVERY"
"Shit","OTHER"
"Magnificent","OTHER"
"You have to download it before you can listen to it","INFORMATION GIVING"
"I like this app.I can download music and even videos.But please fix it.Sometimes it asuddenly crashed and stops.Thank you :)","PROBLEM DISCOVERY"
"A lot of versions.","OTHER"
"You cant even identify the original one.","PROBLEM DISCOVERY"
"When I uninstalled it, all the files I downloaded using this crap were also gone.","OTHER"
"Still downloading","OTHER"
"U guys need to put the YouTube thing back it sucks with out it","FEATURE REQUEST"
"How are u loving this app","INFORMATION SEEKING"
"It doesn't have all the songs I'm lookin for","OTHER"
"I love this app so cool i can watch anything i want","OTHER"
"Fuck!!","OTHER"
"This app.","OTHER"
"But the thing is I downloaded 2 songs.","OTHER"
"My player shows 8 songs.","OTHER"
"Why the extra bullshit?","OTHER"
"Best app ever","OTHER"
"I love when it don't auto erase when I close the app to save on my battery.","OTHER"
"But it does make me mad when I close the app and it erases my download!","OTHER"
"Complete utter crap","OTHER"
"Don't download this looked up latest song dj snake you know you like it gave me a bunch of crappie remixes and it doesn't let you listen to it before you download it get outta here frost wire tf.","INFORMATION GIVING"
"Question is this illegal?","OTHER"
"?","OTHER"
"Its sucks","OTHER"
"Seems almost every r&b song I search for can't be found I need something that can find new and old songs and this app does neither","FEATURE REQUEST"
"Most of the songs are not proper sounding","OTHER"
"I can download the music I want then I'm really happy and our of nowhere it deletes it","OTHER"
"It really good but some songs take forever to load","OTHER"
"It wouldn't even get the right songs dont download this.","OTHER"
"It lags but other wise its great.","OTHER"
":D","OTHER"
"Ok I downloaded it got on it and could not find my songs that I wanted and I know they on there so I want to know why I can't find it on there","PROBLEM DISCOVERY"
"Its very good to me","OTHER"
"Frostwire","OTHER"
"this thing acted like a virus.","OTHER"
"It took over my phone.","OTHER"
"Male","OTHER"
"Ok","OTHER"
"Omg I thought I was not going to work but it did LOVE IT","OTHER"
"I like this app but when I download song and go to google play music I would have a bunch of songs I wouldn't download on it it weird please fix","PROBLEM DISCOVERY"
"Kept making my phone crash no thanks","OTHER"
"This is great","OTHER"
"The app it's self is okay but I deleted it right after I downloaded it because it didn't have the songs I was looking for and it didn't really have a wide selection of song choices when I search for them.I don't know how the downloading is so I have nothing to say about it.","OTHER"
"It is actually very good for me my phone been having problems and yet this app is still great","OTHER"
"Dumb application","OTHER"
"I love it and all but there is one problem takes forever to find the music ur looking for","OTHER"
"It worked perfect or so I thought Idk I only had it for a couple day cuz o for a new phone lol","OTHER"
"It won't let me download a certain song .","OTHER"
"Downgrade it or something .","OTHER"
"-.","OTHER"
"Music not sure","OTHER"
"I can't figure it out oh well I guess something else will work","PROBLEM DISCOVERY"
"If your looking for original music Dont get this its dumb its all remix and it give you a ton of viruses to.","OTHER"
"My phone completely shut down because I was looking for music and it forze so my phone was out of wack for 2 HOURS!","OTHER"
"Not worth it Dont waste your time its all remix","OTHER"
"I keep getting recordings people have made instead of originals","OTHER"
"Its because I downloaded some of pitbull songs and when try to open them irt says FAILED TO OPEN","PROBLEM DISCOVERY"
"Love it","OTHER"
"Ty for the quick response dev team.although i had an issue of my completed filed being deleted,it hasnt happened since the first day.Do you believe in love at first site?","PROBLEM DISCOVERY"
"I LOVE THIS APP!","OTHER"
".","OTHER"
"keep up the good work.","OTHER"
"I love this app and all, but all that I can download is remixes.On my tablet I could download the real thing.","OTHER"
"But not on my phone for some reason.","OTHER"
"Other than that I guess this app is ok.","OTHER"
"When i download it it work really well i download it punch of songs than when i had to uninstalled all of my songs got delete it plz fix it","PROBLEM DISCOVERY"
"One more apolication","OTHER"
"I wil give _ 00000 there worse app ever crash my cell","OTHER"
"Literally the worst app ever!!","OTHER"
"Every song that comes up is remixed by someone else.","OTHER"
"I hardly ever get the actual version.","OTHER"
"Hated it!!!","OTHER"
"I hate this BECAUSE YOU CAN'T USE YOUTUBE as a source TO DOWNLOAD SONGS AND FROSTWIRE NEEDS TO FIX THAT I USED TO LOVE IT BUT CAN'T STAND IT NOW","PROBLEM DISCOVERY"
"I found the right songs I was looking for totally should get it","OTHER"
"Love it","OTHER"
"Love this app.","OTHER"
"Finally something that understands my music needs.","OTHER"
"it.","OTHER"
"They even notify you when download is done and also give us hints to music we want.","OTHER"
"TOTALLY A KEEPER","OTHER"
"Ive gotten this app before and it would let you download songs from the app ""Youtube"" no it wont do that.","OTHER"
"could you please tell me why?","OTHER"
"I've had this app for a couple months and i loved how it would pick up rare youtube files of music that i was looking for.","OTHER"
"Now all youtube supporting files are gone and only soundcloud is available, which means the remixes of the orginals.","OTHER"
"Hate it hate it hate it!","OTHER"
"This app was great at first but after a few downloads it froze my phone.","PROBLEM DISCOVERY"
"I ended up having to factory reset my phone to get it to work properly again.","OTHER"
"Great","OTHER"
"Why dont you guys lets us hear a preview of the song before we download it so we would know if the song is a remix or not","INFORMATION SEEKING"
"How can I fix this because I can't play songs in play list","PROBLEM DISCOVERY"
"Downloads are fast but when we try to watch the movie it says it doesn't know how like honestly says "" doesn't know how to open file""","INFORMATION SEEKING"
"Kewl","OTHER"
"Just tat i donnt like hindi audio i want english","OTHER"
"Loved it at first , now it doesn't let me download anything .","OTHER"
"honestly hate it now .","OTHER"
"Please fix","PROBLEM DISCOVERY"
"Didn't find songs and crashed shortly after.","OTHER"
"Fyi don't reply to this saying you'll help.","OTHER"
"Something that works poorly during first use is not worth the time.","OTHER"
"I dont know why people are sayinh they dont get it, or how it works.","OTHER"
"it works like its suppose to.","OTHER"
"Good job guys.","OTHER"
"Sorry to hear about (pro).","OTHER"
"Thanks for the app.","OTHER"
"This blows","OTHER"
"I downloaded the APK version and I finally got to download my favorite song by Living In Fiction!","OTHER"
"They aren't a well known band so it's impossible to find the original song but this app has it!","PROBLEM DISCOVERY"
"Yaaayyy cx","OTHER"
"Can't preview most of the music.","PROBLEM DISCOVERY"
"Instead of downloading a song only to delete I unis talked the app.","OTHER"
"No good","OTHER"
"I'm not sure if I like it or not","OTHER"
"Love it.","OTHER"
"Sometimes glitches and copies songs","OTHER"
"It's making my phone freeze and act crazy and they have songs downloaded that I didn't ask for","OTHER"
"The people who make the app are fast at replying to a problem","OTHER"
"Great app.","OTHER"
"Amazing","OTHER"
"So I went to an iPhone for a while and when I left I loved this app had it on all of my android and now that I'm back to an Android I can't get half the songs I want because you don't let us download from YouTube anymore why?","PROBLEM DISCOVERY"
"I love this app best music app ever","OTHER"
"Loved it, you can download movies torrents.","OTHER"
"5 stars from me !!!","OTHER"
"When I first got this a couple months ago, everything was good.","OTHER"
"I have actually downloaded over 200 songs with this app.","OTHER"
"BUT, now that there's this new ""update"" where you can't get as many results without downloading rather sketchy apps, I don't see where it is worth it.","PROBLEM DISCOVERY"
"This app is great if you're looking for an rather old and/or song, you MIGHT be able to find it, but as I said, you can't really find any uptodate music on it because there's not as many results anymore.","PROBLEM DISCOVERY"
"and I don't trust that website.","OTHER"
"Problem fixed back to being awesome","OTHER"
"Love you YouTube songs","OTHER"
"I can't download music anymore I have an android","PROBLEM DISCOVERY"
"I love it but u can not here the songs first.","OTHER"
"They have every song I asked for.great job guys keep up the great work","OTHER"
"This was the best music downloader I've had but for me it just dropped the charts cause I can't download off youtube.","PROBLEM DISCOVERY"
"Thats just stupid af!!!!!","OTHER"
"All this torrent data makes things worse and I can't download music anymore.","PROBLEM DISCOVERY"
"It won't let me.","OTHER"
"Wtf did you guys do.","OTHER"
"why tf did you take youtube off?","INFORMATION SEEKING"
"When you open it it just freezes and when you download something it takes up SOOOOO much space hated it!!!!","PROBLEM DISCOVERY"
"Awful","OTHER"
"Works fine","OTHER"
"Its okay","OTHER"
"I get No Results for anything since I replaced the app in my new phone.","OTHER"
"What does show up is usually bogus crap remixed music that's not even the song that I searched for!","OTHER"
"I'm so disappointed as I've used this app for YEARS!!!","OTHER"
"Takes to long","OTHER"
"It does not download any music.","OTHER"
"Well it first downloads 3 song and then it stops!","OTHER"
"Irs okay","OTHER"
"I got it but then when I try to download a song I says error","PROBLEM DISCOVERY"
"I almost see nothing i want and videos don't load anymore","OTHER"
"Bring back 'background download' please.","OTHER"
"Everytime i closed frostwire, my downloads there is closed too and i need to restart it again.","FEATURE REQUEST"
"Usually it kept downloading after even tho i already closed it","OTHER"
"When I first downloaded music it was epic!!!!","OTHER"
"Love it it's a great app for music you could listen to music when you are playing a game !!!","OTHER"
"In the same tablet and phone!!!!","OTHER"
"It is the best free downloaded ever","OTHER"
"This app drains my battery life.","OTHER"
"I play this music downloaded on music player.","OTHER"
"But when I check my battery usage it says 5% from frostwire.","OTHER"
"Also when I delete a file from the app it still appears in my music but don't play.","OTHER"
"Other then that its useful.","OTHER"
"I uninstalled reinstalled already.","OTHER"
"Nice","OTHER"
"I used frostwire and limewire as a teen so I was excited to see this app.","OTHER"
"It had almost every song I searched for but after a couple of songs I got, it started to slow down and freeze.Then my phone would completely crash when I would just open the app.","PROBLEM DISCOVERY"
"I ended up just deleting it.","OTHER"
"I thought it was great.","OTHER"
"But that opinion didn't last long.","PROBLEM DISCOVERY"
"Senang sangat kalau nak cari video or lagu kat sini","OTHER"
"This is the best music app I've ever downloaded, the only problem is it takes up too much space so I had to uninstall it and I've regretted that decision since!","PROBLEM DISCOVERY"
"Brill app, just doesnt always come up with the song you want and is a little slow to load at times, but the music is brill quality and the sound isnt gravelly like from other apps!","OTHER"
"Hey really bad why it don't play to ma phone  ?","INFORMATION SEEKING"
"Please fix it and I'll give u 5 star if u fix it","PROBLEM DISCOVERY"
"I had it for a month n its still working ya","OTHER"
"I fing love this app u beechees","OTHER"
"Works like a charm","OTHER"
"I didn't like it it did not know some songs that I wanted to listen to","OTHER"
"I used to use this program all the time.but it sucks now.I used to download music all the time.but now without the YouTube integration it's going down like limewire did.basically it is now trash all you get are crappy remixes and covers.bye frostwire","OTHER"
"Awesome Possum","OTHER"
"love it bitches","OTHER"
"This app sucks.","OTHER"
"ALL covers.","OTHER"
